locale,PRODUCT_ID,DESCRIPTION
E,PRD00000,Wireless Bluetooth Headphones
D,PRD00000,Kabellose Bluetooth-Kopfhörer
F,PRD00000,Écouteurs sans fil Bluetooth
E,PRD00001,Smart LED TV 42 inch
D,PRD00001,Smart-LED-Fernseher 42 Zoll
F,PRD00001,Téléviseur intelligent LED 42 pouces
E,PRD00002,Stainless Steel Water Bottle 1L
D,PRD00002,Edelstahl-Wasserflasche 1L
F,PRD00002,Bouteille d'eau en acier inoxydable 1L
E,PRD00003,Portable Laptop Stand - Adjustable
D,PRD00003,Tragbarer Laptopständer – Verstellbar
F,PRD00003,Support d'ordinateur portable – Réglable
E,PRD00004,Ergonomic Office Chair - Black
D,PRD00004,Ergonomischer Bürostuhl – Schwarz
F,PRD00004,Chaise de bureau ergonomique – Noire
E,PRD00005,Smartphone 5G - 128GB Storage
D,PRD00005,Smartphone 5G – 128 GB Speicher
F,PRD00005,Smartphone 5G – 128 Go de stockage
E,PRD00006,USB-C Fast Charging Cable - 2m
D,PRD00006,USB-C-Schnellladekabel – 2 m
F,PRD00006,Câble de charge rapide USB-C – 2 m
E,PRD00007,Wireless Gaming Mouse
D,PRD00007,Kabellose Gaming-Maus
F,PRD00007,Souris de jeu sans fil
E,PRD00008,Noise Cancelling Headphones
D,PRD00008,Rauschunterdrückende Kopfhörer
F,PRD00008,Casque à réduction de bruit
E,PRD00009,Smart Fitness Watch - Waterproof
D,PRD00009,Intelligente Fitnessuhr – Wasserdicht
F,PRD00009,Montre de fitness intelligente – Étanche
E,PRD00010,4K Action Camera - Waterproof
D,PRD00010,4K-Actionkamera – Wasserdicht
F,PRD00010,Camera d'action 4K – Étanche
E,PRD00011,Electric Toothbrush - Rechargeable
D,PRD00011,Elektrische Zahnbürste – Wiederaufladbar
F,PRD00011,Brosse à dents électrique – Rechargeable
E,PRD00012,Compact Air Purifier
D,PRD00012,Kompakter Luftreiniger
F,PRD00012,Purificateur d'air compact
E,PRD00013,Digital Alarm Clock with Radio
D,PRD00013,Digitaler Wecker mit Radio
F,PRD00013,Réveil numérique avec radio
E,PRD00014,Stainless Steel Cookware Set
D,PRD00014,Edelstahl-Kochgeschirr-Set
F,PRD00014,Batterie de cuisine en acier inoxydable
E,PRD00015,Wireless Charging Pad
D,PRD00015,Kabelloses Ladepad
F,PRD00015,Station de charge sans fil
E,PRD00016,Robot Vacuum Cleaner
D,PRD00016,Roboterstaubsauger
F,PRD00016,Aspirateur robot
E,PRD00017,Bluetooth Soundbar Speaker
D,PRD00017,Bluetooth-Soundbar-Lautsprecher
F,PRD00017,Barre de son Bluetooth
E,PRD00018,Smart Door Lock - Keyless
D,PRD00018,Intelligentes Türschloss – Schlüssellos
F,PRD00018,Serrure intelligente – Sans clé
E,PRD00019,Wi-Fi Range Extender
D,PRD00019,WLAN-Reichweitenverstärker
F,PRD00019,Amplificateur de portée Wi-Fi
E,PRD00020,LED Desk Lamp with USB Port
D,PRD00020,LED-Schreibtischlampe mit USB-Anschluss
F,PRD00020,Lampe de bureau LED avec port USB
E,PRD00021,Adjustable Standing Desk
D,PRD00021,Verstellbarer Stehschreibtisch
F,PRD00021,Bureau debout réglable
E,PRD00022,Fitness Resistance Bands Set
D,PRD00022,Fitness-Widerstandsbänder-Set
F,PRD00022,Ensemble d'élastiques de résistance
E,PRD00023,Noise Reduction Earplugs
D,PRD00023,Gehörschutzstöpsel mit Geräuschreduzierung
F,PRD00023,Bouchons d'oreilles anti-bruit
E,PRD00024,Rechargeable LED Flashlight
D,PRD00024,Wiederaufladbare LED-Taschenlampe
F,PRD00024,Lampe de poche LED rechargeable
E,PRD00025,Smart Plug with Timer
D,PRD00025,Intelligente Steckdose mit Timer
F,PRD00025,Prise intelligente avec minuterie
E,PRD00026,Laptop Backpack - Waterproof
D,PRD00026,Laptop-Rucksack – Wasserdicht
F,PRD00026,Sac à dos pour ordinateur portable – Étanche
E,PRD00027,Portable Projector - HD
D,PRD00027,Tragbarer Projektor – HD
F,PRD00027,Projecteur portable – HD
E,PRD00028,Smart Light Bulb - RGB
D,PRD00028,Intelligente Glühbirne – RGB
F,PRD00028,Ampoule intelligente – RVB
E,PRD00029,Electric Kettle - Stainless Steel
D,PRD00029,Elektrischer Wasserkocher – Edelstahl
F,PRD00029,Bouilloire électrique – Acier inoxydable
E,PRD00030,Car Phone Holder - Adjustable
D,PRD00030,Handyhalterung fürs Auto – Verstellbar
F,PRD00030,Support de téléphone pour voiture – Réglable
E,PRD00031,Wireless Keyboard and Mouse Combo
D,PRD00031,Kabellose Tastatur- und Maus-Kombination
F,PRD00031,Clavier et souris sans fil – Ensemble
E,PRD00032,Rechargeable Hand Warmer
D,PRD00032,Wiederaufladbarer Handwärmer
F,PRD00032,Chauffe-mains rechargeable
E,PRD00033,Kids Tablet with Parental Control
D,PRD00033,Kinder-Tablet mit Kindersicherung
F,PRD00033,Tablette pour enfants avec contrôle parental
E,PRD00034,Travel Power Adapter - Universal
D,PRD00034,Reiseadapter – Universal
F,PRD00034,Adaptateur de voyage – Universel
E,PRD00035,Smart Bathroom Scale
D,PRD00035,Intelligente Badezimmerwaage
F,PRD00035,Balance de salle de bain intelligente
E,PRD00036,Bluetooth Car FM Transmitter
D,PRD00036,Bluetooth-FM-Transmitter fürs Auto
F,PRD00036,Transmetteur FM Bluetooth pour voiture
E,PRD00037,Mini Portable Fan - USB
D,PRD00037,Mini-USB-Ventilator – Tragbar
F,PRD00037,Mini ventilateur portable – USB
E,PRD00038,Adjustable Phone Tripod Stand
D,PRD00038,Verstellbares Handy-Stativ
F,PRD00038,Trépied pour téléphone – Réglable
E,PRD00039,Wireless Baby Monitor - Camera
D,PRD00039,Kabelloses Babyphone mit Kamera
F,PRD00039,Moniteur bébé sans fil – Caméra
E,PRD00040,Laptop Cooling Pad - 5 Fans
D,PRD00040,Laptop-Kühlpad – 5 Lüfter
F,PRD00040,Support de refroidissement pour ordinateur portable – 5 ventilateurs
E,PRD00041,Digital Drawing Tablet - 8192 Levels
D,PRD00041,Digitales Zeichentablett – 8192 Druckstufen
F,PRD00041,Tablette graphique numérique – 8192 niveaux
E,PRD00042,Electric Hair Clipper - USB Rechargeable
D,PRD00042,Elektrischer Haarschneider – USB-Aufladung
F,PRD00042,Tondeuse à cheveux électrique – Rechargeable USB
E,PRD00043,Smart Thermostat - WiFi Enabled
D,PRD00043,Intelligenter Thermostat – WLAN-fähig
F,PRD00043,Thermostat intelligent – WiFi intégré
E,PRD00044,Automatic Soap Dispenser
D,PRD00044,Automatischer Seifenspender
F,PRD00044,Distributeur de savon automatique
E,PRD00045,Electric Bug Zapper Racket
D,PRD00045,Elektrisches Insektenvernichtungsracket
F,PRD00045,Raquette anti-insectes électrique
E,PRD00046,Smart IR Remote Controller
D,PRD00046,Intelligente IR-Fernbedienung
F,PRD00046,Télécommande IR intelligente
E,PRD00047,Magnetic Phone Mount for Car
D,PRD00047,Magnetische Handyhalterung fürs Auto
F,PRD00047,Support magnétique pour téléphone – Voiture
E,PRD00048,Rechargeable Electric Tooth Polisher
D,PRD00048,Wiederaufladbares elektrisches Zahnpoliergerät
F,PRD00048,Polisseur de dents électrique rechargeable